"filename", "language", "C++", "CMake", "Markdown", "comment", "blank", "total"
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/CMakelists.txt", "CMake", 0, 10, 0, 0, 5, 15
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/README.md", "Markdown", 0, 0, 7, 0, 5, 12
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/Qt/CMakelists.txt", "CMake", 0, 2, 0, 0, 1, 3
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/Qt/main_Qt.cpp", "C++", 4, 0, 0, 0, 2, 6
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/CMakelists.txt", "CMake", 0, 3, 0, 0, 2, 5
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Bus_stop_base.hpp", "C++", 25, 0, 0, 0, 12, 37
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Ibus_stop.hpp", "C++", 23, 0, 0, 0, 7, 30
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Idrawable.hpp", "C++", 16, 0, 0, 0, 8, 24
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Ivehicle.hpp", "C++", 23, 0, 0, 0, 6, 29
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Route.hpp", "C++", 21, 0, 0, 0, 6, 27
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Tbus.hpp", "C++", 14, 0, 0, 0, 3, 17
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Tcar.hpp", "C++", 14, 0, 0, 0, 4, 18
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Tstop.hpp", "C++", 14, 0, 0, 0, 7, 21
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Tterminal.hpp", "C++", 14, 0, 0, 0, 6, 20
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/include/Vehicle_base.hpp", "C++", 28, 0, 0, 0, 10, 38
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Bus_stop_base.cpp", "C++", 27, 0, 0, 0, 7, 34
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Route.cpp", "C++", 81, 0, 0, 0, 17, 98
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Tbus.cpp", "C++", 4, 0, 0, 0, 2, 6
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Tcar.cpp", "C++", 4, 0, 0, 0, 2, 6
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Tstop.cpp", "C++", 7, 0, 0, 0, 1, 8
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Tterminal.cpp", "C++", 7, 0, 0, 0, 1, 8
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/bus_stop/src/Vehicle_base.cpp", "C++", 86, 0, 0, 0, 19, 105
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/diagonal_throw/CMakelists.txt", "CMake", 0, 3, 0, 0, 1, 4
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/diagonal_throw/include/diagonal_throw_functions.hpp", "C++", 11, 0, 0, 0, 4, 15
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/business_logic/diagonal_throw/src/diagonal_throw_functions.cpp", "C++", 15, 0, 0, 0, 4, 19
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/CMakelists.txt", "CMake", 0, 4, 0, 0, 2, 6
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/Menu.cpp", "C++", 14, 0, 0, 0, 7, 21
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/Menu.hpp", "C++", 16, 0, 0, 0, 8, 24
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/bus_vehicle_drawable.cpp", "C++", 14, 0, 0, 1, 5, 20
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/header.hpp", "C++", 4, 0, 0, 0, 1, 5
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/main_console.cpp", "C++", 7, 0, 0, 0, 3, 10
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/screen.cpp", "C++", 25, 0, 0, 0, 6, 31
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/src/console/screen.hpp", "C++", 13, 0, 0, 0, 4, 17
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/tests/unit.tests/business_logic/bus_stop/CMakelists.txt", "CMake", 0, 4, 0, 0, 6, 10
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/tests/unit.tests/business_logic/bus_stop/fake_drawable_implementation.cpp", "C++", 6, 0, 0, 0, 2, 8
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/tests/unit.tests/business_logic/bus_stop/fake_drawable_implementation.hpp", "C++", 10, 0, 0, 0, 7, 17
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/tests/unit.tests/business_logic/bus_stop/main_bus_stop.cpp", "C++", 116, 0, 0, 21, 49, 186
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/tests/unit.tests/business_logic/diagonal_throw/CMakelists.txt", "CMake", 0, 5, 0, 0, 3, 8
"/Users/jakubpasek/Visual Studio Code/Cpp_playground_r/tests/unit.tests/business_logic/diagonal_throw/main_diagonal_throw.cpp", "C++", 5, 0, 0, 0, 5, 10
"Total", "-", 668, 31, 7, 22, 250, 978
